date	cpi	actual_rents_for_housing	rpix	nom_gdp_uk_index	average_earnings_uk	mortgage_interest_payments	equity_prices	nominal_gdp	average_earnings
2011 Q3	93.8	90.3	235.5	417.1	102.4	232.2	2654	1.68414177176799	15.91
2011 Q4	94.7	90.6	238.0	428.4	102.2	231.7	2858	1.69130442155516	15.91
2012 Q1	95.1	91.0	238.9	422.9	103.2	232.2	3003	1.71453509650493	16.09
2012 Q2	95.8	92.5	241.6	417.6	103.1	234.3	2891	1.71181717629746	16.29
2012 Q3	96.1	93.4	242.4	429.3	102.8	238.7	2999	1.7246988758692	16.52
2012 Q4	97.3	93.9	245.2	443.9	103.1	242.8	3093	1.7563902254076	16.38
2013 Q1	97.7	94.0	246.7	434.6	103.6	242.4	3281	1.77853482951623	16.04
2013 Q2	98.4	94.8	249.0	436.8	107.1	243.6	3290	1.7981431282454	16.58
2013 Q3	98.7	95.5	250.2	448.2	107.2	244.6	3444	1.82241938253408	16.58
2013 Q4	99.3	95.7	251.8	461.8	108.6	244.0	3610	1.83270586038722	16.75
2014 Q1	99.4	95.9	253.3	457.0	109.6	243.3	3556	1.85598660663442	16.71
2014 Q2	100.1	97.0	255.5	458.4	109.0	242.8	3600	1.88091398456373	16.78
2014 Q3	100.1	97.8	256.4	467.2	108.0	244.1	3534	1.90028971110391	16.6
2014 Q4	100.2	98.2	256.9	479.9	108.7	243.9	3521	1.90004477506266	16.56
2015 Q1	99.5	98.6	255.9	469.9	109.3	244.1	3664	1.90058713416125	16.68
2015 Q2	100.1	99.7	258.0	472.2	110.0	243.3	3571	1.90593292116557	16.67
2015 Q3	100.1	100.6	259.0	480.5	110.7	241.9	3336	1.9027069149738	16.83
2015 Q4	100.3	101.2	259.6	493.8	110.9	240.6	3444	1.91961132568881	16.87
2016 Q1	99.8	101.4	259.6	485.6	112.2	240.0	3292	1.92706545083475	17.05
2016 Q2	100.4	101.5	262.0	490.5	112.8	239.0	3404	1.92626923276573	17.06
2016 Q3	100.9	101.9	264.2	497.0	113.4	234.2	3677	1.94759390522788	17.19
2016 Q4	101.5	102.2	266.1	518.5	113.4	226.9	3761	1.96893011268264	16.99
2017 Q1	102.0	102.7	268.1	507.5	114.8	225.0	3953	2.00494534607687	17.03
2017 Q2	103.2	102.6	272.0	510.6	116.0	224.4	4046	2.02647013935005	17.31
2017 Q3	103.7	102.8	274.8	520.7	116.9	223.2	4044	2.05391541724576	17.29
2017 Q4	104.6	102.8	277.0	543.6	117.3	226.3	4106	2.05671121469447	17.43
2018 Q1	104.7	103.0	278.0	523.9	118.6	230.0	4049	2.05894333573929	17.49
2018 Q2	105.7	103.0	281.2	527.8	118.1	229.4	4155	2.08838319515014	17.28
2018 Q3	106.3	103.3	283.9	540.6	120.0	232.9	4158	2.09384383475377	17.76
2018 Q4	106.9	103.5	285.3	560.0	121.2	238.9	3837	2.1012722213521	17.99
2019 Q1	106.7	103.7	284.8	545.2	121.8	239.7	3875	2.11944661576883	18.12
2019 Q2	107.8	103.8	289.5	550.3	123.3	239.4	4026	2.14958742550862	18.23
2019 Q3	108.3	104.0	291.2	557.5	123.2	240.4	4028	2.16003656325847	18.63
2019 Q4	108.5	104.3	291.6	580.9	123.0	240.6	4053	2.16278498592844	18.4
2020 Q1	108.5	104.5	292.4	555.8	123.2	237.8	3806	2.14482422671534	18.72
2020 Q2	108.5	105.2	293.5	470.5	119.6	226.9	3301	1.77300253582102	18.99
2020 Q3	108.9	105.9	295.1	523.3	122.4	221.1	3373	2.04966683975202	19.08
2020 Q4	109.0	106.1	295.6	554.7	126.0	220.7	3501	2.07987375825348	19.6
2021 Q1	109.2	106.4	297.0	536.6	126.2	220.7	3790	2.03100244541402	19.77
2021 Q2	110.7	106.8	303.8	564.9	129.3	221.3	4000	2.14783136486376	19.82
2021 Q3	111.9	107.4	308.7	574.2	129.8	221.8	4069	2.20061777100516	19.8
2021 Q4	114.4	108.1	316.4	608.4	131.6	222.2	4129	2.26394220061459	19.91
2022 Q1	115.9	108.9	322.2	614.0	134.2	226.5	4168	2.33502242237852	20.03
2022 Q2	120.9	110.1	339.1	615.6	135.1	237.6	4115	2.41557397198415	20.2513270032838
2022 Q3	123.2	111.7	346.7	628.5	137.9	258.1	4015	2.46088702622858	20.4750996202661
2022 Q4	126.7	113.0	358.8	648.1	140.7	293.3	3982	2.46736177215859	20.7013448744294
2023 Q1	127.7	114.0	363.2	660.1	143.0	337.3	4241	2.48076009438214	20.9300900878594
2023 Q2	131.1	116.2	373.3	667.7	146.2	368.2	4189	2.55624161093581	21.2674445764989
2023 Q3	131.4	118.9	373.6	674.1	147.9	404.9	4091	2.57760583381424	21.6102365979216
2023 Q4	132.7	120.1	378.3	695.2	147.8	446.5	4115	2.59715480844217	21.9585537951371
2024 Q1	133.6	121.0	382.1	689.5	149.6	488.0	4137	2.61685204561823	22.3124852237993
2024 Q2	135.9	123.1	389.1	685.5	151.5	521.2	4162	2.63669866978929	22.5129375258506
2024 Q3	135.8	124.5	387.3	690.8	152.4	543.6	4192	2.65669581393019	22.7151906638462
2024 Q4	136.5	125.2	389.7	711.4	153.3	560.6	4222	2.67684461960844	22.9192608162488
2025 Q1	136.6	126.8	391.5	710.2	154.0	575.8	4254	2.69714623704938	23.1251643068663
2025 Q2	138.4	128.1	397.2	705.6	154.7	583.7	4289	2.71760182520184	23.2941527273993
2025 Q3	138.0	129.2	395.4	713.9	155.3	590.4	4325	2.73821255180431	23.4643760401863
2025 Q4	138.5	129.6	398.0	733.6	156.0	600.8	4363	2.75897959345159	23.6358432692708
2026 Q1	138.5	129.7	400.0	734.0	156.8	611.6	4402	2.77990413566197	23.8085635046403
2026 Q2	140.4	130.5	406.2	730.9	157.7	622.4	4443	2.80098737294488	23.9790210171987
2026 Q3	139.9	131.6	404.5	739.4	158.6	634.3	4485	2.82223050886913	24.1506989210496
2026 Q4	140.6	132.1	407.6	762.9	159.6	645.5	4527	2.82223050886913	24.3236059535897
2027 Q1	140.7	131.8	409.8	761.9	160.6	656.4	4569	2.84363475613156	24.4977509147711
