date	cpi	actual_rents_for_housing	rpix	nom_gdp_uk_index	average_earnings	mortgage_interest_payments	equity_prices	nominal_gdp	
2002 Q4	75	72.3	175.4	56.6	343	201.5		22,876	
2003 Q1	75	72.3	176.5	57.3	345	204.3		23,242	
2003 Q2	75.5	72.8	177.9	58	349	205.3		23,649	
2003 Q3	75.6	73.1	178.3	59.1	353	205.0		24,131	
2003 Q4	76	73.3	179.3	60.1	357	210.6		24,303	
2004 Q1	75.9	73.4	179.8	60.3	358	225.1		24,769	
2004 Q2	76.5	74.4	181.5	61.5	364	240.6		25,151	
2004 Q3	76.6	74.8	181.7	61.8	369	266.5		25,550	
2004 Q4	77.1	75.4	183.1	62.5	373	278.5		26,007	
2005 Q1	77.3	75.7	183.5	63.1	376	285.1		26,238	
2005 Q2	78	77.1	185.4	64.8	380	291.4		26,750	
2005 Q3	78.4	77.7	186	65.3	386	294.5		27,061	
2005 Q4	78.8	77.9	187.1	66.9	390	294.0		27,858	
2006 Q1	78.7	78.2	187.4	67.5	396	300.2		28,330	
2006 Q2	79.8	79.4	190.4	68.4	399	306.2		28,581	
2006 Q3	80.3	80.1	191.9	69	401	316.8		28,768	
2006 Q4	80.9	80.3	193.5	69.7	408	336.9		29,245	
2007 Q1	81	80.7	194.3	70.7	421	362.0		29,558	
2007 Q2	81.8	81.9	196.9	71.6	416	377.9		29,732	
2007 Q3	81.7	82.5	197	72.7	421	402.5		30,074	
2007 Q4	82.6	82.9	199.4	73.7	424	413.9		30,776	
2008 Q1	82.9	83.4	201.1	74.8	441	404.5	2927	30,723	
2008 Q2	84.6	84.7	205.6	74.5	432	393.7	2856	31,438	
2008 Q3	85.7	85	207.7	74.2	434	395.7	2484	31,307	
2008 Q4	85.8	85.9	207	73.3	435	357.9	2209	31,147	
2009 Q1	85.4	85.8	205.8	71.8	429	247.2	1984	30,744	
2009 Q2	86.4	86.1	208.4	72	436	213.4	2172	30,649	
2009 Q3	86.9	86.7	210.3	72.8	436	215.5	2635	30,937	
2009 Q4	87.6	86.8	212.8	72.6	438	218.1	2761	30,872	
2010 Q1	88.2	86.8	215.3	73.7	441	220.2	2910	31,016	
2010 Q2	89.3	87.5	219.5	75	443	223.3	2544	31,317	
2010 Q3	89.6	87.7	220.4	75.3	445	226.8	2868	31,424	
2010 Q4	90.5	88.1	223	75.8	448	228.5	3063	31,222	
2011 Q1	91.8	88.4	227.1	77.4	453	230.3	3068	31,992	
2011 Q2	93.3	89.5	231.3	76.9	454	232.1	3097	32,279	
2011 Q3	93.8	90.3	232.6	77.5	455	232.2	2654	32,566	
2011 Q4	94.7	90.6	235.2	78.3	457	231.7	2858	33,025	
2012 Q1	95.1	91	236.2	78.7	456	232.2	3003	33,132	
2012 Q2	95.8	92.5	238.9	79.1	461	234.3	2891	33,366	
2012 Q3	96.1	93.4	239.7	80.8	463	238.7	2999	33,600	
2012 Q4	97.3	93.9	242.6	81.1	462	242.8	3093	34,037	
2013 Q1	97.7	94	244.1	81.4	460	242.4	3281	34,555	
2013 Q2	98.4	94.8	246.4	82.2	470	243.6	3290	34,895	
2013 Q3	98.7	95.5	247.6	83.9	466	244.6	3444	35,456	
2013 Q4	99.3	95.7	249.3	84.9	467	244.0	3610	35,699	
2014 Q1	99.4	95.9	250.9	85.8	467	243.3	3556	36,219	
2014 Q2	100.1	97	253	86.6	469	242.8	3600	36,590	
2014 Q3	100.1	97.8	253.9	87.6	470	244.1	3534	36,824	
2014 Q4	100.2	98.2	254.5	87.9	476	243.9	3521	36,994	
2015 Q1	99.5	98.6	253.4	88.5	478	244.1	3664	36,927	
2015 Q2	100.1	99.7	255.5	89.8	481	243.3	3571	36,874	
2015 Q3	100.1	100.6	256.5	90	484	241.9	3336	36,734	
2015 Q4	100.3	101.2	257.1	90.2	485	240.6	3444	37,226	
2016 Q1	99.8	101.4	257.2	91.5	489	240.0	3296	37,143	
2016 Q2	100.4	101.5	259.3	92.9	493	239.0	3405	37,579	
2016 Q3	100.9	101.9	261.6	93.5	495	234.2	3678	38,058	
2016 Q4	101.5	102.2	263.5	94.7	497	226.9	3763	38,150	
2017 Q1	102	102.7	265.6	95.6	499	225.0	3952	38,676	
2017 Q2	103.2	102.6	269.2	96	504	224.4	4045	38,952	
2017 Q3	103.7	102.8	272.1	96.6	507	223.2	4044	39,278	
2017 Q4	104.6	102.8	274.3	98.1	509	226.3	4108	39,490	
2018 Q1	104.7	103	275.3	98.6	514	230.0	4049	40,023	
2018 Q2	105.7	103	278.1	99.5	515	229.4	4153	40,716	
2018 Q3	106.3	103.3	280.9	100.7	522	232.9	4158	40,836	
2018 Q4	106.9	103.5	282.4	101.2	527	238.9	3832	41,100	
2019 Q1	106.7	103.7	281.8	102.5	531	239.7	3871	41,414	
2019 Q2	107.8	103.8	286.1	103.1	535	239.4	4026	41,622	
2019 Q3	108.3	104	288	104.3	542	240.4	4028	42,084	
2019 Q4	108.5	104.3	288.4	104.5	541	240.6	4050	42,095	
2020 Q1	108.5	104.5	289.1	103	544	237.8	3812	41,375	
2020 Q2	108.5	105.2	289.8	89.1	528	226.9	3301	35,143	
2020 Q3	108.9	105.9	291.5	100.8	550	221.1	3373	39,387	
2020 Q4	109	106.1	292	101.6	566	220.7	3498	40,104	
2021 Q1	109.2	106.4	293.5	101.3	568	220.7	3765	40,260	
2021 Q2	110.7	106.8	299.8		574	221.3	3858	41,573	1.0326144395273
