AVERAGE COUNCIL TAX PER DWELLING 1996-97 TO 2020-21																									
																									
													Council Tax Freeze								Council Tax Freeze				
Fife	£549	£583	£611	£643	£682	£712	£767	£804	£835	£868	£919	£930	£930	£931	£934	£937	£931	£947	£946	£943	£947	£1,008	£1,058	£1,077	£1,147
Glasgow City 	£603	£747	£827	£811	£817	£854	£873	£894	£906	£924	£932	£946	£944	£963	£955	£955	£953	£948	£959	£954	£955	£1,011	£1,040	£1,085	£1,137
Highland	£552	£600	£648	£667	£700	£748	£792	£834	£878	£925	£959	£1,005	£1,006	£1,010	£1,003	£1,010	£1,012	£1,012	£1,016	£1,018	£1,022	£1,110	£1,137	£1,170	£1,226
Inverclyde	£563	£614	£638	£662	£697	£752	£789	£814	£853	£884	£909	£906	£911	£910	£910	£913	£919	£915	£920	£929	£931	£968	£998	£1,047	£1,078
Midlothian	£630	£752	£783	£822	£848	£885	£916	£947	£1,001	£1,042	£1,081	£1,085	£1,085	£1,096	£1,088	£1,084	£1,094	£1,102	£1,097	£1,108	£1,111	£1,210	£1,245	£1,322	£1,397
Moray	£506	£544	£577	£599	£644	£680	£709	£737	£823	£867	£917	£951	£949	£940	£931	£934	£940	£941	£956	£946	£950	£1,004	£1,039	£1,085	£1,171
Na h-Eileanan Siar	£398	£433	£472	£507	£530	£560	£590	£625	£649	£681	£716	£735	£735	£741	£738	£738	£748	£742	£748	£747	£747	£781	£804	£844	£886
North Ayrshire	£510	£556	£581	£611	£641	£680	£716	£752	£783	£834	£874	£898	£898	£904	£915	£901	£923	£903	£904	£904	£905	£968	£995	£1,045	£1,096
North Lanarkshire	£570	£592	£612	£641	£668	£698	£726	£756	£782	£814	£833	£843	£858	£863	£870	£866	£865	£865	£864	£861	£863	£902	£933	£963	£1,016
Orkney Islands 	£366	£391	£452	£475	£524	£571	£623	£677	£712	£734	£768	£795	£818	£820	£822	£813	£812	£814	£816	£816	£818	£862	£892	£938	£986
Perth & Kinross	£633	£660	£660	£685	£718	£790	£846	£886	£945	£1,000	£1,043	£1,079	£1,087	£1,078	£1,075	£1,074	£1,075	£1,082	£1,081	£1,083	£1,101	£1,195	£1,232	£1,284	£1,344
Renfrewshire	£612	£650	£651	£654	£707	£747	£787	£836	£884	£929	£971	£990	£986	£979	£974	£973	£972	£971	£968	£975	£976	£1,022	£1,063	£1,117	£1,190
Scottish Borders	£456	£503	£527	£554	£597	£642	£707	£762	£827	£860	£917	£927	£941	£939	£935	£937	£932	£943	£941	£939	£950	£1,050	£1,079	£1,131	£1,184
Shetland  Islands	£347	£376	£436	£484	£531	£579	£621	£661	£731	£758	£791	£817	£822	£825	£828	£831	£835	£836	£839	£866	£865	£901	£930	£971	£1,019
South Ayrshire	£663	£691	£716	£715	£751	£790	£830	£869	£913	£957	£1,005	£1,048	£1,058	£1,053	£1,047	£1,050	£1,050	£1,051	£1,054	£1,059	£1,065	£1,148	£1,183	£1,237	£1,305
South Lanarkshire	£595	£654	£706	£727	£745	£767	£783	£807	£840	£867	£916	£947	£947	£941	£935	£936	£931	£933	£927	£923	£939	£979	£1,029	£1,067	£1,107
Stirling	£647	£731	£738	£772	£860	£921	£983	£1,023	£1,089	£1,139	£1,188	£1,210	£1,209	£1,200	£1,198	£1,198	£1,188	£1,183	£1,193	£1,198	£1,217	£1,315	£1,348	£1,408	£1,483
West Dunbartonshire	£633	£761	£788	£764	£778	£796	£816	£850	£854	£874	£898	£920	£921	£923	£922	£923	£925	£929	£935	£940	£950	£971	£989	£1,021	£1,093
West Lothian	£538	£628	£658	£685	£711	£744	£772	£801	£838	£882	£910	£936	£943	£942	£940	£941	£942	£944	£942	£953	£954	£999	£1,033	£1,080	£1,133
The Average Council Tax per Dwelling is inclusive of disabled band reduction and all discounts. Water and Sewerage charges are not included. 																									
Source: Calculated from local authority returns CTAS and CTAXBASE for the respective years.																									
